Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1399,71328,15168,115296,7410816
1400,72480,14944,115424,7410112
1401,71808,15168,117024,7360928
1402,72128,14912,116064,7563232
1403,72000,14784,116064,7321152
1404,72192,14976,118048,7527168
1405,71776,15104,127552,7306080
1406,71776,15296,122880,7258176
1407,72096,14784,115168,7283744
1408,70432,15040,122208,7230208
1409,71968,15328,131072,7452480
1410,71552,15168,128192,7237696
1411,72032,14944,122304,7200992
1412,71040,14720,126048,7237632
1413,72256,15232,117632,7213344
1414,71232,16736,114176,7243392
1415,71456,16480,115008,7239136
1416,72288,15264,130656,7446528
1417,71936,15360,115712,7494400
1418,72224,14944,114752,7493120
1419,71424,15008,115680,7318592
1420,71456,15072,113760,7319552
1421,71328,15040,129632,7526176
1422,72160,15264,130912,7587904
1423,72320,14976,132832,7360864
1424,71808,15200,123968,7420512
1425,71488,15264,116128,7403712
1426,71872,15328,115008,7415104
1427,71360,15136,115360,7451456
1428,72320,15232,113760,7463744
1429,72096,15264,115552,7890688
1430,71776,15104,114272,8139936
1431,72128,15232,116128,8125568
1432,72064,15392,115072,7917184
1433,71488,15168,124096,7925792
1434,71968,14848,117280,8125440
1435,71872,15200,129280,8135744
1436,71552,15232,128768,7903648
1437,71712,15072,114752,8094176
1438,72032,15392,118496,7450208
1439,72160,14784,114048,7659904
1440,71072,16832,115712,7450592
1441,72416,14912,112672,7410144
1442,71936,14976,116064,7399584
1443,72096,14944,113376,7355936
1444,71840,14976,115072,7370816
1445,71104,15328,113440,7365536
1446,71616,14880,130336,7323136
1447,71264,14944,129568,7309600
1448,71968,15008,125568,7271552
1449,72320,14976,114688,7489664
1450,71584,15392,128224,7280672
1451,71936,15008,116832,7231360
1452,72032,14752,120736,7445184
1453,72224,15136,113600,7198272
1454,71776,14976,115456,7214944
1455,71456,15072,115840,7218368
1456,72512,15360,113600,7192736
1457,72704,15168,131168,7235616
1458,71424,15136,123936,7247168
1459,72512,14944,130976,7273344
1460,71136,15040,114144,7179296
1461,71360,15104,113120,7486880
1462,71264,15360,126976,7531392
1463,70944,14976,129184,7324160
1464,70816,15136,114976,7573152
1465,71072,15040,115680,7363360
1466,71264,16320,114944,7386048
1467,71584,16640,120320,7416320
1468,72928,15072,131680,7622592
1469,71840,15264,112832,7460928
1470,72032,15040,119712,7478816
1471,71936,14784,116416,7684032
1472,72192,14944,129280,7939296
1473,71968,15040,130080,7913344
1474,72384,15040,113504,7924384
1475,72096,15168,114272,7923744
1476,71072,14784,114016,7933088
1477,72384,14944,116000,7931968
1478,71872,14848,130944,7912640
1479,72672,14976,114272,7890656
1480,71904,15040,114368,7443648
1481,71584,15008,114240,7424064
1482,71616,15328,117184,7414464
1483,71296,15104,132448,7382464
1484,72384,15840,131776,7586912
1485,72096,15104,123616,7354208
1486,71904,15040,115136,7344896
1487,72096,14912,123392,7320768
1488,72544,15072,113824,7309088
1489,71648,15200,112832,7299328
1490,71424,14976,129184,7294944
1491,71072,15360,130944,7289696
1492,71808,14944,113824,7506976
1493,72224,15040,130112,7288608
1494,71936,15712,114592,7498752
1495,72320,15328,124192,7501440
1496,71488,14912,130048,7497440
1497,71744,14976,124064,7531712
1498,71392,15008,119712,7322720
1499,71136,14976,115200,7365984
1500,71552,14944,130912,7363136
1501,71040,15008,115072,7368576
1502,71936,15008,115296,7418016
1503,71200,14816,115584,7631968
1504,71328,14976,115552,7464256
1505,71136,14816,120288,7461376
1506,72160,14976,129760,7461536
1507,71456,15200,124768,7514688
1508,71392,15104,115296,7515968
1509,72000,14848,124032,7569952
1510,72352,15424,121760,7563936
1511,71968,15008,115648,7559872
1512,71168,15200,119712,7815392
1513,72736,15200,113536,7606304
1514,71360,15104,114528,7476928
1515,72288,14880,116576,7475104
1516,71104,15008,113376,7472160
1517,71104,15104,131712,7472416
1518,72480,14976,114368,7474336
1519,71296,15104,129280,7472320
1520,72320,14848,124736,7680576
1521,70464,17760,122048,7667680
1522,72352,17824,126336,7447072
1523,70912,15104,115360,7443456
1524,71712,15040,113920,7649792
1525,71008,15104,113280,7439296
1526,71008,16704,128672,7437440
1527,71360,15104,129824,7441056
1528,71840,15136,114336,7442272
1529,72512,15232,120000,7446144
