Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1469,37888,15360,58368,4660224
1470,37888,15360,58368,4656128
1471,37888,15360,57344,4677632
1472,36864,16384,59392,4663264
1473,36864,16384,59392,4654080
1474,36864,15360,59392,4672512
1475,36864,15360,59392,4665344
1476,37888,16384,58368,4674560
1477,37888,533504,58368,4666368
1478,37888,16384,58368,4656128
1479,36864,16384,59392,4644864
1480,36864,16384,59392,4652032
1481,36864,15360,992256,4672512
1482,37888,15360,600064,4646912
1483,37888,15360,355328,4629504
1484,37888,15360,58368,4661248
1485,36864,15360,59392,4653056
1486,37888,15360,58368,4638720
1487,37888,15360,58368,4664320
1488,37888,15360,57344,4662272
1489,37888,16384,59392,4647936
1490,37888,16384,59392,4665344
1491,36864,16384,325632,4666368
1492,36864,15360,58368,4651008
1493,36864,15360,57344,4656128
1494,37888,15360,59392,4667392
1495,37888,15360,58368,4640768
1496,37888,15360,58368,4651008
1497,36864,16384,59392,4644864
1498,36864,15360,61440,4681728
1499,36864,15360,58368,4669440
1500,37888,15360,57344,4645888
1501,36896,16384,59392,4670464
1502,37888,16384,59392,4653056
1503,37888,16384,58368,4632576
1504,37888,15360,58368,4666368
1505,37888,15360,57344,4665344
1506,36864,16384,58368,4701184
1507,37888,16384,58368,4689888
1508,37888,16384,59392,4716544
1509,37888,15360,57344,4705280
1510,36864,16384,58368,4684800
1511,37888,15392,58368,4684800
1512,37888,15360,613376,4703232
1513,37888,15360,59392,4702208
1514,36864,15360,58368,4672512
1515,36864,15360,58368,4675584
1516,37888,15360,59392,4688896
1517,36864,16384,58336,4692992
1518,36864,15360,58368,4673536
1519,37888,15360,59392,4704256
1520,37888,16384,58400,4714496
1521,37888,16352,58368,4686848
1522,36864,16384,57344,4663296
1523,36864,15360,58368,4664320
1524,37888,15360,59392,4708352
1525,36864,15360,59392,4687872
1526,36864,15360,58368,4687872
1527,36864,16384,59392,4694016
1528,36864,16384,59392,4680704
1529,37888,15360,784384,4682752
1530,37888,16384,59392,4682752
1531,37888,15360,345088,4653056
1532,37888,15360,58368,4692992
1533,36864,15360,58368,4685824
1534,37888,15360,58368,4637696
1535,37888,15360,58368,4680704
1536,36864,15360,59392,4633600
1537,36864,15360,58368,4696064
1538,37888,15360,59392,4679680
1539,36864,16384,58368,4623360
1540,37888,16384,58368,4601856
1541,36864,15360,58368,4617216
1542,37888,16384,59392,4615168
1543,37888,15360,58368,4585472
1544,36864,16384,58368,4559872
1545,37888,15360,59392,4521984
1546,36864,15360,630784,4507648
1547,37888,16384,59392,4527104
1548,37888,16384,60416,4480000
1549,37888,15360,58368,4517888
1550,37888,607232,58368,4551680
1551,36864,15360,58368,4509696
1552,37856,15360,59392,4433920
1553,37888,15360,58368,4460544
1554,37888,15360,58368,4476928
1555,37888,16384,58368,4466656
1556,37888,15360,59392,4454400
1557,36864,15360,59392,4457472
1558,37888,15360,59392,4473856
1559,37888,16384,58368,4476928
1560,37888,15360,58368,4506624
1561,36864,15360,58368,4490240
1562,37888,16384,58368,4538368
1563,36864,15392,59392,4485120
1564,37888,15360,58368,4538368
1565,37888,16384,60416,4558848
1566,37888,16384,58368,4583424
1567,36864,15360,58368,4606976
1568,36864,16384,58368,4577280
1569,37888,15360,58368,4593664
1570,37888,15360,58368,4661248
1571,37888,15360,58368,4637696
1572,37888,16384,58368,4653056
1573,37888,15360,58368,4645888
1574,37888,15360,59392,4689920
1575,36864,16384,58400,4636672
1576,36864,15360,57344,4699136
1577,37888,15360,59392,4680704
1578,37888,16384,60416,4690944
1579,36864,16384,58368,4671488
1580,37888,15360,58368,5291008
1581,37888,15360,57344,5323776
1582,36864,16384,58368,5314560
1583,37888,15360,58368,5322752
1584,37888,15360,59392,5326848
1585,37888,16384,58368,5296128
1586,36864,15360,59392,5306368
1587,37888,16384,58368,5244928
1588,36864,15360,59392,5227520
1589,36832,15360,57344,5360640
1590,36864,15360,59392,5357568
1591,36864,15360,57344,5350400
1592,37888,15360,58368,5346304
1593,36864,15360,58368,5367808
1594,37888,15360,58368,5348352
1595,36864,16384,57344,5321728
1596,36864,16384,58368,5251072
1597,36864,15360,57344,5278720
1598,36864,15360,59392,5257216
1599,36864,16384,58368,5256192
1600,36864,15360,58368,5250048
1601,36864,16384,58368,5276672
1602,36864,15360,57344,5257216
1603,36864,15360,59392,5236736
1604,37888,16384,58400,5289984
1605,36864,16384,57312,5249024
1606,37888,16384,58368,5256224
1607,36864,16384,625664,5284864
1608,36864,15360,58368,5264384
1609,36864,15360,58368,5264384
1610,36864,15360,58368,5216256
1611,37888,15360,319488,5254144
1612,36864,16384,56320,5235712
1613,36864,15360,58368,5256192
1614,36864,15360,57344,5245952
1615,36864,15360,57344,5255168
1616,36864,16384,58368,5245952
1617,37888,15360,60416,5253120
1618,36864,16384,57344,5270528
1619,36864,16384,625664,5277696
1620,36864,15360,58368,5233664
1621,36864,15360,58368,5261312
1622,37888,15360,59392,5276672
1623,36896,15360,57344,5254144
1624,36864,16384,57344,5234720
1625,36864,15360,56320,5236736
1626,36864,16384,59360,5199872
1627,37888,15360,57344,5259264
1628,36864,15360,57344,5250048
1629,36864,15360,58368,5143552
1630,36864,16384,58368,5173248
1631,36864,16384,58368,5232640
1632,36864,15360,58368,5171200
1633,36864,15360,58368,5201920
1634,36864,15360,58368,4710400
1635,36864,15360,59392,4719616
1636,36864,16384,57344,4733952
1637,36864,15360,58368,4763648
1638,37888,15360,58368,4703232
1639,36864,15360,58368,4698112
1640,36864,15360,59392,4694016
1641,36864,15360,392192,4676608
1642,35840,15360,58368,4666368
1643,36864,15360,58368,4673536
1644,36864,16384,58368,4683808
1645,36864,15360,58368,4661248
1646,36864,15360,58368,4690944
1647,36864,15360,58368,4666368
1648,36864,15360,58368,4642816
1649,36864,15360,57344,4674560
1650,36864,15360,57344,4640768
1651,36864,15360,58368,4733952
1652,36864,15360,58368,4675584
1653,36864,15392,59392,4653056
1654,36864,15360,58368,4605952
1655,36864,15360,58368,5085184
1656,36864,15360,58368,4684800
1657,36864,16384,59392,4732928
1658,37888,16384,58368,4691968
1659,37888,16384,57344,5061632
1660,36864,16352,58368,4671488
1661,36864,16384,59392,4647936
1662,36864,16384,58368,4680704
1663,37888,15360,57344,4636672
1664,36864,16384,60416,4624384
1665,36864,15360,59392,4618240
1666,37888,15360,1058816,4588544
1667,36864,16384,58368,4648960
1668,36864,16384,57344,4515840
1669,36864,15360,59392,4615168
1670,36864,15360,58368,4613120
1671,36864,16384,315392,4599808
1672,36864,15360,59392,4633600
1673,36864,15360,57344,4662272
1674,37888,15360,58368,4612096
1675,37888,15360,59392,4643840
1676,36864,16384,58368,4630528
1677,36864,15360,57344,4651008
1678,36864,15360,57344,4630528
1679,36864,15360,58368,4652032
1680,36864,15360,57344,4642816
1681,37888,15360,59392,4639744
1682,37888,16384,59392,4622336
1683,37888,15360,59392,4657152
1684,37888,15360,60416,4598784
1685,36864,15360,57344,4646912
1686,36864,15392,58368,4625408
1687,36864,16384,58368,4664320
1688,36864,15360,59392,4647936
1689,36864,15360,58368,4656128
1690,36864,15360,57344,4646944
1691,36864,16384,58368,4647936
1692,36864,15360,58368,4575232
1693,36864,15360,59392,4654112
1694,36864,15360,59392,4657152
1695,36864,15360,58368,4645920
1696,37888,15360,58368,4628480
1697,37888,15360,60416,4604928
1698,36864,15360,58368,4600832
1699,36832,16384,323584,4665344
1700,36864,16384,375808,4636672
1701,36864,15360,402432,4643840
1702,36864,15360,58368,4630528
1703,36864,15360,59392,4643840
1704,36864,16384,56320,4626432
1705,36864,15360,58368,4655104
1706,36864,16384,59392,4621312
1707,36864,16384,59392,4662272
1708,37888,15360,58368,4563968
1709,36864,15360,57344,4652032
1710,37888,15360,58368,4621312
1711,36864,15360,58368,4651008
1712,36864,16384,59360,4640768
1713,36864,15360,623616,4652032
1714,36864,15360,58368,4646944
1715,37888,15360,59392,4646912
1716,37888,16384,58368,4595712
1717,36864,15360,57344,4648960
1718,37888,15360,59392,4594656
1719,37888,16384,57344,4108288
1720,37888,15360,58368,4453376
1721,36864,16384,58368,4577280
1722,37856,15360,59392,4553728
1723,36864,16384,58368,4102144
1724,36864,16384,58368,4096000
1725,36864,15360,58368,4128768
1726,36864,15360,57344,4045824
1727,37888,15360,58368,4072448
1728,36864,15360,655360,4069376
1729,36864,15360,622592,4147200
1730,36864,16384,57344,4112384
1731,36864,15360,322560,4115456
1732,36864,15360,57344,4007936
1733,36864,16384,57344,4074496
1734,36896,15360,58368,4072448
1735,36864,15360,58368,4094976
1736,36864,16384,58368,4042752
1737,36864,15360,57344,4101120
1738,36864,16384,57344,4145152
1739,36864,16384,58368,4050944
1740,37888,15360,59392,4052992
1741,36864,15360,58368,4005888
1742,37888,15360,57344,4062240
1743,36864,15360,59392,4059136
1744,36864,15360,59392,4069376
1745,36864,15360,57376,4061184
1746,36864,16384,57344,4100096
1747,36864,15360,57344,4082688
1748,36864,15392,57344,4139008
1749,36896,15360,59392,4099072
1750,36864,15360,58368,4090880
1751,37888,15360,58368,4133888
1752,36864,15360,58368,4128768
1753,36864,16384,58368,4148224
1754,36864,15360,59392,4126720
1755,36864,15360,59392,4109312
1756,37888,15360,58368,4129792
1757,36864,15360,58368,4106240
1758,37888,15360,58368,4112416
1759,36864,16384,58368,4089856
1760,36864,16384,57344,4774912
1761,35840,16384,57344,4140032
1762,36864,15360,57344,4117504
1763,36864,15360,57344,4337664
1764,36864,16384,603136,4119552
1765,36864,15360,57344,4083712
1766,36864,16384,394240,4127744
1767,36864,16384,615424,4123648
1768,36864,15360,521216,4133888
1769,36864,16384,58368,4111360
1770,36864,15360,57344,4145152
1771,36864,16384,56320,4386816
1772,37888,15360,534528,4126720
1773,36864,16384,56320,4113408
1774,36864,16384,549888,4135936
1775,36864,15360,534528,4135936
1776,36864,16384,647168,4150272
1777,36864,16384,630784,4127744
1778,36864,15360,603136,4128768
1779,36864,15360,311296,4116480
1780,36864,16384,56320,4848640
1781,36864,15360,56320,4843520
1782,36864,16384,58368,4389888
1783,36864,15360,390144,4122624
1784,36864,15360,550912,4136960
1785,36864,15360,553984,4114432
1786,37888,15360,56320,5067776
1787,36864,16352,56320,4860928
1788,36864,15360,386048,4130816
1789,37888,15360,57344,4120576
1790,36864,16384,57344,4121600
1791,36864,15360,57344,4120576
1792,36864,15360,57344,4124672
1793,37888,16384,58368,4098048
1794,36864,15360,58368,4113408
1795,36864,16384,59392,4109312
1796,37888,16384,59392,4124672
1797,37888,16384,58368,4078592
1798,37888,16384,58368,4131840
1799,37888,15360,58368,4083744
1800,37888,16384,59392,4120576
1801,36864,16384,58368,4107264
1802,36864,16384,59392,4086784
1803,37888,15360,57344,4109312
1804,36864,15360,59392,4096000
1805,37888,15360,58368,4082688
1806,36864,15360,58368,4076544
1807,36864,16352,58368,4072448
1808,37888,16384,58368,3444736
1809,35840,16384,58368,3427328
1810,36832,15360,59392,3444736
1811,37888,16352,57344,3443712
1812,36896,15360,57344,3446784
1813,37888,15360,58368,3425280
1814,36864,15360,59392,3421184
1815,36864,15360,58368,3434496
1816,36864,15360,58368,3504128
1817,37888,16384,59392,3479552
1818,36864,16384,57344,3449856
1819,36864,15360,58368,3446784
1820,36864,15360,58368,3431424
1821,35840,16384,58368,3428352
1822,36864,15360,57344,4297728
1823,36864,16384,58368,3450880
1824,36864,15360,624640,3450880
1825,36864,15360,602144,3435520
1826,36864,15360,56320,4289536
1827,36864,16384,58368,4281344
1828,36864,15360,386048,3447808
1829,36864,15360,625664,3440640
1830,36864,15360,610304,3462144
1831,36864,15360,57344,3461120
1832,37888,15360,409600,3434496
1833,35840,15392,57312,3420160
1834,36864,15360,57344,3447808
1835,36864,15360,57344,3429376
1836,36864,16384,57344,3432448
1837,36864,15360,621568,3459072
1838,36864,16352,57344,3451904
1839,36864,15360,57344,3449856
1840,36864,15360,557088,3436544
1841,36864,16384,598016,3427328
1842,36864,16384,57344,3433472
1843,37888,15360,646144,3441664
1844,36864,15360,56320,3437568
1845,36864,16384,58368,3425280
1846,36864,15360,57344,3648512
1847,36864,15360,57344,3346432
1848,36864,15360,58368,3381248
1849,36864,16384,58368,3379200
1850,37888,16384,622592,3380224
1851,36864,16384,315392,3356672
1852,36896,16384,57344,3318784
1853,36864,16384,57344,3377152
1854,36864,15360,59392,3322880
1855,37888,15360,57344,3349504
1856,36864,15360,59392,3316736
1857,36864,16384,58368,3325952
1858,36864,16384,57344,3338240
1859,37888,15360,57344,3308544
1860,37888,15360,58368,3323904
1861,37888,15360,57344,3304448
1862,36864,15360,58368,3305472
1863,36864,16384,57344,3300352
1864,37888,16384,58368,3290112
