Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1333,71712,15296,111456,5497888
1334,71520,15552,112512,5494784
1335,70784,14848,111680,5601472
1336,71936,15392,110496,5595616
1337,71392,15008,111232,5505280
1338,70848,16448,110400,5481120
1339,71200,14816,110528,5508640
1340,70528,14880,112064,5498368
1341,71264,16864,111072,5493664
1342,71392,15008,115136,5497696
1343,71328,15456,127424,5607456
1344,71648,15200,112576,5596064
1345,70688,15680,110976,5505472
1346,72064,14944,114176,5601376
1347,70752,14784,111808,5494368
1348,71136,15040,111520,5485248
1349,70912,15104,109664,5588384
1350,71040,15104,121056,5586400
1351,71232,15680,113920,5478816
1352,71072,14976,112032,5503008
1353,70976,15648,123296,5566752
1354,70880,15296,121376,5560288
1355,72128,15328,122240,5532384
1356,71072,15392,123200,5127968
1357,71360,15072,111392,5025984
1358,71168,15424,111104,5027456
1359,72096,15104,115488,5066048
1360,71616,14976,125472,5077856
1361,71200,15424,116672,4990720
1362,71168,15520,116640,5039168
1363,71968,14976,115776,5019776
1364,71584,15232,114464,4939712
1365,71200,15424,113024,4898496
1366,71424,16288,114912,4916032
1367,71904,15296,112832,4916704
1368,70976,15168,120064,5007872
1369,71616,15456,112608,4880704
1370,71456,15200,110400,4923744
1371,70880,15296,115648,4908352
1372,71072,15008,111072,4969088
1373,70848,14912,111168,4921728
1374,72000,15392,112480,4912512
1375,70688,15104,119872,5013120
1376,70976,15104,112000,4922336
1377,71104,15296,120608,4915232
1378,71424,15424,110496,4914176
1379,71328,15488,111296,4894528
1380,71392,15264,118080,5033408
1381,71424,15328,112704,4930400
1382,72352,14880,113056,4929408
1383,71904,15072,110048,4981568
1384,71136,15072,114528,5069472
1385,71936,15072,109888,4971968
1386,71456,15296,113952,5002368
1387,70976,14816,111456,5118112
1388,71232,15392,112352,5016704
1389,70848,14880,113344,5539392
1390,71584,14880,117632,5581824
1391,70944,14912,113344,5501600
1392,71104,14976,119872,5597152
1393,71776,15360,110304,5491936
1394,70816,15392,111648,5476000
1395,70880,14944,112320,5493664
1396,71936,14880,110304,5503872
1397,71200,15168,114176,5493760
1398,71072,15648,112032,5495616
1399,71648,14912,110656,5586240
1400,71104,14880,110176,5485056
1401,71744,15264,111616,5486400
1402,71488,14848,112768,5495040
1403,71200,14944,127552,5596992
1404,71232,15040,126496,5582304
1405,71136,15360,115616,5583296
1406,71136,15296,110560,5497024
1407,72288,15104,124736,5587552
1408,71840,15392,110080,5506208
1409,71616,15136,112480,5474304
1410,71616,14880,111840,5453568
1411,72768,14880,111840,5445216
1412,70912,14880,116768,5027328
1413,70432,14880,112416,5017888
1414,71232,15424,110816,5019136
1415,71776,14912,115200,5083808
1416,71648,15200,109504,4988768
1417,70592,15264,111328,4979520
1418,71456,15360,111776,4974304
